# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 16 12:01:31 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
11,EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,,,0,2456811.090000,,,0,,,,,0.62560,,,0,32.800,,,0,0.50,,,0,15.516,,0,12.335,0.027,0
12,EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h48m22.79s,177.094971,-04d09m51.8s,-4.164393,14.91238100,,,0,2456825.111000,,,0,,,,,0.04445,,,0,3.550,,,0,0.65,,,0,15.135,,0,12.424,0.027,0
13,EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47128500,,,0,2456813.353000,,,0,,,,,0.07773,,,0,4.370,,,0,0.50,,,0,14.887,,0,11.577,0.024,0
14,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47114000,0.00021000,-0.00021000,0,2456809.884500,0.003300,-0.003300,0,,,,,0.06600,0.00360,-0.00360,0,4.130,0.310,-0.310,0,0.57,0.03,-0.03,0,14.887,,0,11.577,0.024,0
15,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47134000,0.00016000,-0.00016000,0,2456809.881000,0.002000,-0.002000,0,13.510000,,,0,0.07400,0.00200,-0.00200,0,4.760,0.340,-0.330,0,,,,,14.887,,0,11.577,0.024,0
16,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00361000,,,0,2456815.524000,,,0,,,,,0.03485,,,0,2.570,,,0,0.62,,,0,14.409,,0,11.571,0.023,0
17,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00339000,0.00100000,-0.00099000,0,2456815.524000,0.004000,-0.004000,0,27.720000,,,0,0.03400,0.00100,-0.00100,0,2.100,0.200,-0.190,0,,,,,14.409,,0,11.571,0.023,0
18,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00329000,0.00159000,-0.00159000,0,2456815.521200,0.008000,-0.008000,0,27.790000,0.720000,-0.720000,0,,,,,2.370,0.400,-0.400,0,0.60,0.02,-0.02,0,14.409,,0,11.571,0.023,0
19,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00440000,0.00110000,-0.00110000,0,2456815.517000,0.045000,-0.045000,0,,,,,0.03490,0.00410,-0.00410,0,1.690,0.300,-0.300,0,0.43,0.06,-0.06,0,14.409,,0,11.571,0.023,0
20,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00617969,,,0,2456815.513027,,,0,,,,,,,,,,,,,,,,,14.409,,0,11.571,0.023,0
21,EPIC 201211526,EPIC 201211526.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h13m52.54s,183.468918,-03d49m54.7s,-3.831868,21.07020100,0.00241300,-0.00226700,0,2457588.478000,0.004046,-0.003967,0,34.288349,5.285277,-11.016202,0,0.01698,0.00312,-0.00127,0,1.650,0.320,-0.141,0,0.89,0.06,-0.04,0,11.696,,0,10.163,0.023,0
22,EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h02m09.81s,180.540894,-03d34m50.6s,-3.580723,12.42107800,0.00104900,-0.00100100,0,2457586.514670,0.003415,-0.003682,0,26.135513,2.846505,-6.017701,0,0.02439,0.00226,-0.00134,0,2.208,0.237,-0.144,0,0.83,0.04,-0.03,0,11.729,,0,9.978,0.021,0
23,EPIC 201227197,EPIC 201227197.01,K2-160 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h16m13.10s,184.054581,-03d33m11.1s,-3.553082,3.70587100,0.00007400,-0.00007600,0,2457585.666380,0.000815,-0.000786,0,14.684713,1.540603,-3.663367,0,0.03189,0.00171,-0.00114,0,3.178,0.214,-0.145,0,0.91,0.04,-0.03,0,12.486,,0,11.037,0.026,0
24,EPIC 201231064,EPIC 201231064.01,K2-161 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,9.28318800,0.00205200,-0.00230000,0,2457587.847550,0.007734,-0.007298,0,10.790043,1.763597,-4.708439,0,0.02184,0.00518,-0.00181,0,6.117,1.633,-0.783,0,2.57,0.31,-0.25,0,12.358,,0,10.261,0.024,0
25,EPIC 201231940,EPIC 201231940.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h36m28.95s,174.120605,-03d28m56.8s,-3.482449,0.57303573,,,0,2456810.511000,,,0,,,,,0.09028,,,0,3.350,,,0,0.43,,,0,18.108,,0,15.155,0.159,0
26,EPIC 201238110,EPIC 201238110.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h58m49.42s,179.705933,-03d23m21.8s,-3.389389,7.90696060,,,0,2456813.675000,,,0,,,,,0.04848,,,0,3.020,,,0,0.52,,,0,14.904,,0,11.933,0.024,0
27,EPIC 201238163,EPIC 201238163.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h33m03.07s,173.262802,-03d23m19.6s,-3.388773,1.08296140,,,0,2456810.366000,,,0,,,,,0.02378,,,0,1.560,,,0,0.56,,,0,15.279,,0,12.282,0.024,0
28,EPIC 201239401,EPIC 201239401.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h32m12.71s,173.052963,-03d22m12.9s,-3.370242,0.90552205,,,0,2456810.944000,,,0,,,,,0.02628,,,0,1.520,,,0,0.50,,,0,15.042,,0,11.735,0.026,0
29,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75391000,0.00015000,-0.00015000,0,2456810.903100,0.002300,-0.002300,0,,,,,0.07900,0.01300,-0.01300,0,3.780,0.680,-0.680,0,0.44,0.03,-0.03,0,16.770,,0,13.748,0.057,0
30,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75411290,,,0,2456810.901000,,,0,,,,,0.07842,,,0,4.870,,,0,0.55,,,0,16.770,,0,13.748,0.057,0
31,EPIC 201257461,EPIC 201257461.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.28586900,,,0,2456828.355000,,,0,,,,,0.05345,,,0,3.470,,,0,0.74,,,0,11.511,,0,9.368,0.023,0
32,EPIC 201257461,EPIC 201257461.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,FALSE POSITIVE,,1,0,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.27762000,0.00785000,-0.00785000,0,2456828.373500,0.039700,-0.039700,0,6.190000,0.520000,-0.520000,0,,,,,209.520,99.230,-99.230,0,10.96,0.82,-0.93,0,11.511,,0,9.368,0.023,0
33,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219899,,,0,2456810.278000,,,0,,,,,0.02488,,,0,1.050,,,0,0.37,,,0,13.879,,0,10.357,0.021,0
34,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,1,1,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219400,0.00002600,-0.00002600,0,2456812.400150,0.000640,-0.000630,0,3.600000,0.900000,-0.800000,0,0.02710,0.00400,-0.00200,0,0.770,0.180,-0.180,0,0.26,0.05,-0.05,0,13.879,,0,10.357,0.021,0
35,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57771549,,,0,2456818.326995,,,0,,,,,,,,,,,,,,,,,12.452,,0,10.401,0.023,0
36,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57786430,,,0,2456810.434000,,,0,,,,,0.11500,,,0,7.550,,,0,0.73,,,0,12.452,,0,10.401,0.023,0
37,EPIC 201270464,EPIC 201270464.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h20m32.04s,170.133484,-02d53m53.4s,-2.898169,1.57771549,,,0,2456818.327691,,,0,,,,,,,,,,,,,,,,,9.392,,0,8.438,0.023,0
38,EPIC 201291843,EPIC 201291843.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h53m41.00s,178.420837,-02d34m18.4s,-2.571776,40.70206194,,,0,2456823.294921,,,0,,,,,,,,,,,,,,,,,13.679,,0,10.591,0.025,0
39,EPIC 201295312,EPIC 201295312.01,K2-44 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65706000,0.00079000,-0.00079000,0,2456811.718700,0.008200,-0.008200,0,12.940000,4.070000,-4.070000,0,,,,,2.160,0.570,-0.570,0,1.09,0.20,-0.11,0,12.126,,0,10.693,0.024,0
40,EPIC 201295312,EPIC 201295312.01,K2-44 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,1,1,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65630400,0.00036600,-0.00032300,0,2456811.720110,0.002565,-0.002557,0,9.377576,0.921681,-2.266163,0,0.01726,0.00070,-0.00054,0,2.939,0.496,-0.377,0,1.56,0.26,-0.19,0,12.126,,0,10.693,0.024,0
41,EPIC 201295312,EPIC 201295312.01,K2-44 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65625600,,,0,2456811.720000,,,0,,,,,0.01714,,,0,2.080,,,0,1.03,,,0,12.126,,0,10.693,0.024,0
42,EPIC 201295312,EPIC 201295312.01,K2-44 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65688000,0.00059000,-0.00059000,0,2456811.717600,0.004400,-0.004400,0,,,,,0.01560,0.00120,-0.00120,0,2.720,0.320,-0.320,0,1.58,0.15,-0.15,0,12.126,,0,10.693,0.024,0
43,EPIC 201299088,EPIC 201299088.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h08m49.13s,182.204697,-02d27m52.3s,-2.464518,21.20473900,0.00534800,-0.00552300,0,2457600.342910,0.008145,-0.007958,0,7.257597,0.895991,-0.662070,0,0.04741,0.00197,-0.00184,0,9.110,1.164,-0.951,0,1.76,0.21,-0.17,0,11.751,,0,9.800,0.021,0
44,EPIC 201324549,EPIC 201324549.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,1,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51933400,0.00003500,-0.00003500,0,2456809.993530,0.000690,-0.000690,0,,,,,0.02410,0.00300,-0.00300,0,3.910,0.850,-0.850,0,1.45,0.25,-0.25,0,12.146,,0,10.890,0.026,0
45,EPIC 201324549,EPIC 201324549.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51940780,,,0,2456812.512000,,,0,,,,,0.04461,,,0,7.990,,,0,1.72,,,0,12.146,,0,10.890,0.026,0
